,line,filename,entity,len,lineNo,email,url,phone,sigdelimiter,special,words,name,endquote,tabs1,tabs2,tabs3,punct20,punct50,punct90,reply,startpunct,firstchar,replypunct,wrote,alphanum90,alphanum50,alphanum10,title,nlines,len_avg,len_min,len_max,nBlanks,nNonBlanks,nSig,posFromEnd,last,prevlast,last5,last11,posRatio,posRatioNB,lenRatio,less_avg_len,more_avg_len,less_avg_len75,less_avg_len50
568,top of page <http://www.forestweb.com/digest/news.control.taf?_section=view&_function=detail&EDITION_ID=2070&_UserReference=53518CE48B18B4EF3BE96926#top> 	,15.txt,no_entity,155,58,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,t,0,1,1,0,0,0,156,114.0,8,368,82,74,0,16,0,0,0,0,0.3717948717948718,0.7837837837837838,1.3596491228070176,0,1,0,0
569,  _____  ,15.txt,no_entity,9,59,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, ,0,1,1,1,1,0,156,114.0,8,368,82,74,0,15,0,0,0,0,0.3782051282051282,0.7972972972972973,0.07894736842105263,1,0,1,1
570,"Norampac to acquire Star Corrugated Box of Maspeth, N.Y.",15.txt,no_entity,56,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,1,1,0,0,0,156,114.0,8,368,82,74,0,14,0,0,0,0,0.38461538461538464,0.8108108108108109,0.49122807017543857,1,0,1,1
571,"11/07/2001 08:16:35, CNW ",15.txt,no_entity,25,61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,156,114.0,8,368,82,74,0,13,0,0,0,0,0.391025641025641,0.8243243243243243,0.21929824561403508,1,0,1,1
572,"MONTREAL, Nov. 7, 2001 (Canada NewsWire/press release)- Norampac Inc., through its wholly-owned subsidiary Norampac Holding US Inc., has entered into an agreement to acquire Star Corrugated Box Co. Inc. ( ""Star"" ). In business since 1906, Star operates a corrugated products converting plant with annual production of over 1 billion square feet....",15.txt,no_entity,348,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,1,1,0,0,0,156,114.0,8,368,82,74,0,12,0,0,0,0,0.3974358974358974,0.8378378378378378,3.0526315789473686,0,1,0,0
573,( Story... <http://www.forestweb.com/digest/news.control.taf?_section=liststories&_function=detail&FORESTWEBNEWS_uid1=15138&_UserReference=53518CE48B18B4EF3BE96926>) 	,15.txt,no_entity,167,63,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,(,0,1,1,0,0,0,156,114.0,8,368,82,74,0,11,0,0,0,0,0.40384615384615385,0.8513513513513513,1.4649122807017543,0,1,0,0
574,top of page <http://www.forestweb.com/digest/news.control.taf?_section=view&_function=detail&EDITION_ID=2070&_UserReference=53518CE48B18B4EF3BE96926#top> 	,15.txt,no_entity,155,64,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,t,0,1,1,0,0,0,156,114.0,8,368,82,74,0,10,0,0,0,1,0.41025641025641024,0.8648648648648649,1.3596491228070176,0,1,0,0
575,  _____  ,15.txt,no_entity,9,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, ,0,1,1,1,1,0,156,114.0,8,368,82,74,0,9,0,0,0,1,0.4166666666666667,0.8783783783783784,0.07894736842105263,1,0,1,1
576,Wal-Mart dampening Procter & Gamble's diaper business,15.txt,no_entity,53,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,156,114.0,8,368,82,74,0,8,0,0,0,1,0.4230769230769231,0.8918918918918919,0.4649122807017544,1,0,1,1
577,"11/07/2001 06:53:22, Press Reports ",15.txt,no_entity,35,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,156,114.0,8,368,82,74,0,7,0,0,0,1,0.42948717948717946,0.9054054054054054,0.30701754385964913,1,0,1,1
578,"Nov. 7, 2001 (press reports) -- Procter & Gamble is losing valuable market share to Wal-Mart's store brand diapers, according to a report in the December 2001 issue of Kiplinger's Personal Finance magazine....",15.txt,no_entity,209,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,1,1,0,0,0,156,114.0,8,368,82,74,0,6,0,0,0,1,0.4358974358974359,0.918918918918919,1.8333333333333333,0,1,0,0
579,( Story... <http://www.forestweb.com/digest/news.control.taf?_section=liststories&_function=detail&FORESTWEBNEWS_uid1=15131&_UserReference=53518CE48B18B4EF3BE96926>) 	,15.txt,no_entity,167,69,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,(,0,1,1,0,0,0,156,114.0,8,368,82,74,0,5,0,0,0,1,0.4423076923076923,0.9324324324324325,1.4649122807017543,0,1,0,0
580,top of page <http://www.forestweb.com/digest/news.control.taf?_section=view&_function=detail&EDITION_ID=2070&_UserReference=53518CE48B18B4EF3BE96926#top> 	,15.txt,no_entity,155,70,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,t,0,1,1,0,0,0,156,114.0,8,368,82,74,0,4,0,0,1,1,0.44871794871794873,0.9459459459459459,1.3596491228070176,0,1,0,0
581,  _____  ,15.txt,no_entity,9,71,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, ,0,1,1,1,1,0,156,114.0,8,368,82,74,0,3,0,0,1,1,0.4551282051282051,0.9594594594594594,0.07894736842105263,1,0,1,1
582,"To opt out of this newsletter or to make suggestions regarding NewsBeat, please email NewsBeat <mailto:pricebeat@forestweb.com>.",15.txt,no_entity,128,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,156,114.0,8,368,82,74,0,2,0,0,1,1,0.46153846153846156,0.972972972972973,1.1228070175438596,0,1,0,0
583,All news reports are copyrighted by the respective authors.,15.txt,no_entity,59,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,1,1,0,0,0,156,114.0,8,368,82,74,0,1,0,1,1,1,0.46794871794871795,0.9864864864864865,0.5175438596491229,1,0,1,0
584,powered by Forestweb,15.txt,no_entity,20,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,0,1,0,0,0,0,156,114.0,8,368,82,74,0,0,1,0,1,1,0.47435897435897434,1.0,0.17543859649122806,1,0,1,1
585,"Katina,",150.txt,no_entity,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0,1,1,0,0,1,9,59.0,7,156,6,3,1,2,0,0,1,1,0.1111111111111111,0.3333333333333333,0.11864406779661017,1,0,1,1
586,Could you please get together with Lisa and get her what she needs.  I think it might relate to that ECAR/Allegheny stuff you were working on the other day.,150.txt,no_entity,156,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,1,1,0,0,0,9,59.0,7,156,6,3,1,1,0,1,1,1,0.2222222222222222,0.6666666666666666,2.6440677966101696,0,1,0,0
587,Rebecca,150.txt,signature,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,1,0,0,0,1,9,59.0,7,156,6,3,1,0,1,0,1,1,0.3333333333333333,1.0,0.11864406779661017,1,0,1,1
588,I'm working on a settlement issue with subject counterparty for December.  The unique id is 12596.  Can you send me Hafslund's detailed data for Dec 1?  ,151.txt,no_entity,153,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,1,1,0,0,0,4,82.0,10,153,2,2,1,1,0,1,1,1,0.25,0.5,1.8658536585365855,0,1,0,0
589,Lisa ,151.txt,signature,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,1,1,0,0,1,4,82.0,10,153,2,2,1,0,1,0,1,1,0.5,1.0,0.06097560975609756,1,0,1,1
590,"Further to our meeting today, please find attached the list of contracts ECC is taking the view are properly terminated and the dates of such termination (in ECC's opinion).  This list was last updated on January 9, 2002 before I went away, so Bryan, if there are any other counterparties that should be added to the list, can you please let Kyle, Eric, John and myself know as soon as possible?",152.txt,no_entity,395,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,1,1,0,0,0,7,139.0,9,395,4,3,2,2,0,0,1,1,0.14285714285714285,0.3333333333333333,2.841726618705036,0,1,0,0
591,Thanks,152.txt,signature,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,0,0,0,1,7,139.0,9,395,4,3,2,1,0,1,1,1,0.2857142857142857,0.6666666666666666,0.04316546762589928,1,0,1,1
592,Greg,152.txt,signature,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,0,1,0,0,0,1,7,139.0,9,395,4,3,2,0,1,0,1,1,0.42857142857142855,1.0,0.02877697841726619,1,0,1,1
593,I would see the primary responsibilities:,153.txt,no_entity,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,1,1,0,0,0,19,152.0,31,572,7,12,0,11,0,0,0,0,0.05263157894736842,0.08333333333333333,0.26973684210526316,1,0,1,1
594,"1. Develop with Fallon a written process for the valuation of terminated contracts.  We will most likely only have Bjorn for a short period of time given his reluctance to go to NETCO.  While no one appears to care about the fact that we have no way to render a correct value for financial statement purposes, this would be a priority if I was managing the estate.   There is no metric for the approval of comprises internally.  Our curves say one value, the counterparties quotes say another.  Differences in value may be a better metric that notional settlement amounts.",153.txt,no_entity,572,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,19,152.0,31,572,7,12,0,10,0,0,0,1,0.10526315789473684,0.16666666666666666,3.763157894736842,0,1,0,0
595,"2. With IT, assure that the terminated contracts are frozen in value.   The book is currently floating, rendering an open position which is unmeasured as to VaR.  Examine ways, if any, to manage this uncovered market risk. ",153.txt,no_entity,223,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,19,152.0,31,572,7,12,0,9,0,0,0,1,0.15789473684210525,0.25,1.4671052631578947,0,1,0,0
596,"3. Valuation of assets held for sale and DASH process.   It would appear that we should work backwards from the summary of sale that the Unsecured Creditors Committee wants.   There have already been complaints about multiple forms (DASH, transaction review committee for).  This would require revamping the DASH process and TAP.   ",153.txt,no_entity,332,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,19,152.0,31,572,7,12,0,8,0,0,0,1,0.21052631578947367,0.3333333333333333,2.1842105263157894,0,1,0,0
597,4. Revaluation of International assets.,153.txt,no_entity,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,19,152.0,31,572,7,12,0,7,0,0,0,1,0.2631578947368421,0.4166666666666667,0.2565789473684211,1,0,1,1
598,"5. To the extent EES performs post petition, value this book and the associated  ongoing costs associated with it.",153.txt,no_entity,114,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,19,152.0,31,572,7,12,0,6,0,0,0,1,0.3157894736842105,0.5,0.75,1,0,1,0
599,6. My understanding is that the billing on performing accounts is behind. Manage and develop a process to collect these past due amounts.  Collectibility does not improve with time.,153.txt,no_entity,181,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,19,152.0,31,572,7,12,0,5,0,0,0,1,0.3684210526315789,0.5833333333333334,1.1907894736842106,0,1,0,0
600,7. Ongoing review of business unit's cash requests.,153.txt,no_entity,51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,19,152.0,31,572,7,12,0,4,0,0,1,1,0.42105263157894735,0.6666666666666666,0.3355263157894737,1,0,1,1
601,8. Develop a systematized IT solution to payments and transfers made 90 days prior to bankruptcy (in process).,153.txt,no_entity,110,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,19,152.0,31,572,7,12,0,3,0,0,1,1,0.47368421052631576,0.75,0.7236842105263158,1,0,1,0
602,9. Manage the bankrupt counterparty portfolio.,153.txt,no_entity,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,19,152.0,31,572,7,12,0,2,0,0,1,1,0.5263157894736842,0.8333333333333334,0.3026315789473684,1,0,1,1
603,10. Collect amounts owed by PG&E and So Cal Edison ($545 million notional).,153.txt,no_entity,75,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,19,152.0,31,572,7,12,0,1,0,1,1,1,0.5789473684210527,0.9166666666666666,0.4934210526315789,1,0,1,1
604,11. Maintain a pipeline report.,153.txt,no_entity,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,19,152.0,31,572,7,12,0,0,1,0,1,1,0.631578947368421,1.0,0.20394736842105263,1,0,1,1
605,We are hoping to be able to begin using OATI certificates by the end of this ,155.txt,no_entity,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,32,58.0,12,82,12,20,0,19,0,0,0,0,0.03125,0.05,1.3275862068965518,0,1,0,0
606,"week or early next week.  At some point, I will notify you of a default ",155.txt,no_entity,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,0,1,1,0,0,0,32,58.0,12,82,12,20,0,18,0,0,0,0,0.0625,0.1,1.2413793103448276,0,1,0,0
607,password to use for your first login.  You will be expected to replace the ,155.txt,no_entity,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,0,1,1,0,0,0,32,58.0,12,82,12,20,0,17,0,0,0,0,0.09375,0.15,1.293103448275862,0,1,0,0
608,"default with your own password on your first login. However, before we can ",155.txt,no_entity,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,1,1,0,0,0,32,58.0,12,82,12,20,0,16,0,0,0,0,0.125,0.2,1.293103448275862,0,1,0,0
609,"implement, I need updated information from you.    Please reply to this ",155.txt,no_entity,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i,0,1,1,0,0,0,32,58.0,12,82,12,20,0,15,0,0,0,0,0.15625,0.25,1.2413793103448276,0,1,0,0
610,message with the following information.,155.txt,no_entity,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,m,0,1,1,0,0,0,32,58.0,12,82,12,20,0,14,0,0,0,0,0.1875,0.3,0.6724137931034483,1,0,1,0
611,1.	User name,155.txt,no_entity,12,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,32,58.0,12,82,12,20,0,13,0,0,0,0,0.21875,0.35,0.20689655172413793,1,0,1,1
612,2.	Email address,155.txt,no_entity,16,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,32,58.0,12,82,12,20,0,12,0,0,0,0,0.25,0.4,0.27586206896551724,1,0,1,1
613,3.	Phone number,155.txt,no_entity,15,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,32,58.0,12,82,12,20,0,11,0,0,0,0,0.28125,0.45,0.25862068965517243,1,0,1,1
614,4.	Do you currently have an OATI digital certificate?,155.txt,no_entity,53,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,0,32,58.0,12,82,12,20,0,10,0,0,0,1,0.3125,0.5,0.9137931034482759,1,0,0,0
615,"5.	I you have an OATI certificate, what is the common name?",155.txt,no_entity,59,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,1,0,0,0,32,58.0,12,82,12,20,0,9,0,0,0,1,0.34375,0.55,1.0172413793103448,0,1,0,0
616,"6.	If you do not have an OATI certificate, what is the name of your Security ",155.txt,no_entity,77,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,1,0,0,0,32,58.0,12,82,12,20,0,8,0,0,0,1,0.375,0.6,1.3275862068965518,0,1,0,0
617,Officer or security contact?,155.txt,no_entity,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,1,1,0,0,0,32,58.0,12,82,12,20,0,7,0,0,0,1,0.40625,0.65,0.4827586206896552,1,0,1,1
618,I am not certain at this point whether we can use Tradewave and OATI ,155.txt,no_entity,69,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,1,1,0,0,0,32,58.0,12,82,12,20,0,6,0,0,0,1,0.4375,0.7,1.1896551724137931,0,1,0,0
619,"certificates in parallel.  It seems to be a good possibility, but hasn't yet been ",155.txt,no_entity,82,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,1,1,0,0,0,32,58.0,12,82,12,20,0,5,0,0,0,1,0.46875,0.75,1.4137931034482758,0,1,0,0
620,"confirmed.  If we are able to do so, we have until the end of June to complete ",155.txt,no_entity,79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,1,1,0,0,0,32,58.0,12,82,12,20,0,4,0,0,1,1,0.5,0.8,1.3620689655172413,0,1,0,0
621,"everyone's conversion.  If not, we will have to pick a date certain for the ",155.txt,no_entity,76,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e,0,1,1,0,0,0,32,58.0,12,82,12,20,0,3,0,0,1,1,0.53125,0.85,1.3103448275862069,0,1,0,0
622,"change.  Since I will be on the road from June 25-28, the changeover date ",155.txt,no_entity,74,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,1,1,0,0,0,32,58.0,12,82,12,20,0,2,0,0,1,1,0.5625,0.9,1.2758620689655173,0,1,0,0
623,would have to be no later than June 24.,155.txt,no_entity,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,0,1,1,0,0,0,32,58.0,12,82,12,20,0,1,0,1,1,1,0.59375,0.95,0.6724137931034483,1,0,1,0
624,The attached file describes how to obtain a certificate from OATI.,155.txt,no_entity,66,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,32,58.0,12,82,12,20,0,0,1,0,1,1,0.625,1.0,1.1379310344827587,0,1,0,0
625,"	traders.dl-netco@enron.com, originators.dl-netco@enron.com",156.txt,no_entity,59,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,59,91.0,12,431,24,35,0,34,0,0,0,0,0.01694915254237288,0.02857142857142857,0.6483516483516484,1,0,1,0
626,"	teresa.mandola@enron.com, jennifer.mcquade@enron.com, ",156.txt,no_entity,55,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,59,91.0,12,431,24,35,0,33,0,0,0,0,0.03389830508474576,0.05714285714285714,0.6043956043956044,1,0,1,0
627,"	carl.carter@enron.com, daniel.diamond@enron.com, ",156.txt,no_entity,50,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,59,91.0,12,431,24,35,0,32,0,0,0,0,0.05084745762711865,0.08571428571428572,0.5494505494505495,1,0,1,0
628,"	rahil.jafry@enron.com, bob.shults@enron.com",156.txt,no_entity,44,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,59,91.0,12,431,24,35,0,31,0,0,0,0,0.06779661016949153,0.11428571428571428,0.4835164835164835,1,0,1,1
629,"	teresa.mandola@enron.com, jennifer.mcquade@enron.com, ",156.txt,no_entity,55,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,59,91.0,12,431,24,35,0,30,0,0,0,0,0.0847457627118644,0.14285714285714285,0.6043956043956044,1,0,1,0
630,"	carl.carter@enron.com, daniel.diamond@enron.com, ",156.txt,no_entity,50,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,59,91.0,12,431,24,35,0,29,0,0,0,0,0.1016949152542373,0.17142857142857143,0.5494505494505495,1,0,1,0
631,"	rahil.jafry@enron.com, bob.shults@enron.com",156.txt,no_entity,44,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,	,0,1,1,0,0,0,59,91.0,12,431,24,35,0,28,0,0,0,0,0.11864406779661017,0.2,0.4835164835164835,1,0,1,1
632,"With the filing of the Hart-Scott-Rodino application last week, it looks like our updated launch timeline is as follows. Note that it is still possible that this timeline could shift:",156.txt,no_entity,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,59,91.0,12,431,24,35,0,27,0,0,0,0,0.13559322033898305,0.22857142857142856,2.010989010989011,0,1,0,0
633,Week of Jan 28:,156.txt,no_entity,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,59,91.0,12,431,24,35,0,26,0,0,0,0,0.15254237288135594,0.2571428571428571,0.16483516483516483,1,0,1,1
634,We will distribute a packet to each of the Originators/Traders who have volounteered to call customers and assist in getting signed Password Applications. The packets will contain:,156.txt,no_entity,180,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,59,91.0,12,431,24,35,0,25,0,0,0,0,0.1694915254237288,0.2857142857142857,1.978021978021978,0,1,0,0
635,Key Messages,156.txt,no_entity,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0,1,0,0,0,1,59,91.0,12,431,24,35,0,24,0,0,0,0,0.1864406779661017,0.3142857142857143,0.13186813186813187,1,0,1,1
636,Frequently Asked Questions (FAQs),156.txt,no_entity,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,1,1,0,0,0,59,91.0,12,431,24,35,0,23,0,0,0,0,0.2033898305084746,0.34285714285714286,0.3626373626373626,1,0,1,1
637,Top Counterparty Checklist ,156.txt,no_entity,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,1,59,91.0,12,431,24,35,0,22,0,0,0,0,0.22033898305084745,0.37142857142857144,0.2967032967032967,1,0,1,1
638,External Customer Cover Letter,156.txt,no_entity,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,1,0,0,0,1,59,91.0,12,431,24,35,0,21,0,0,0,0,0.23728813559322035,0.4,0.32967032967032966,1,0,1,1
639,Password Application (PA),156.txt,no_entity,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,1,1,0,0,0,59,91.0,12,431,24,35,0,20,0,0,0,0,0.2542372881355932,0.42857142857142855,0.27472527472527475,1,0,1,1
640,Registration Form,156.txt,no_entity,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,1,0,0,0,1,59,91.0,12,431,24,35,0,19,0,0,0,0,0.2711864406779661,0.45714285714285713,0.18681318681318682,1,0,1,1
641,Fax Cover Sheet for PA/Registration ,156.txt,no_entity,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,1,1,0,0,0,59,91.0,12,431,24,35,0,18,0,0,0,0,0.288135593220339,0.4857142857142857,0.3956043956043956,1,0,1,1
642,Electronic Trading Agreement (ETA),156.txt,no_entity,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,1,1,0,0,0,59,91.0,12,431,24,35,0,17,0,0,0,0,0.3050847457627119,0.5142857142857142,0.37362637362637363,1,0,1,1
643,Internal online Marketing Contact List,156.txt,no_entity,38,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,1,1,0,0,0,59,91.0,12,431,24,35,0,16,0,0,0,0,0.3220338983050847,0.5428571428571428,0.4175824175824176,1,0,1,1
644,"Each person receiving a pack will contact the Master Users at the companies they have volounteered for and send them copies of the Password Application (PA) and Electronic Trading Agreement (ETA). During this week, we will be working hard to get as many of the PA's returned as possible. Once we have a signed PA, we can send the customer their new User ID, which will allow them to start trading on the day we launch the new site.",156.txt,no_entity,431,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,1,1,0,0,0,59,91.0,12,431,24,35,0,15,0,0,0,0,0.3389830508474576,0.5714285714285714,4.736263736263736,0,1,0,0
645,"A Splash page will be available at www.UBSWenergy.com or via an automatic redirect from www.enrononline.com. This page will tell customers about the pending launch of www.UBSWenergy.com and provide links to the PA and Registration screens and also to the User Admin screens, which will allow customer Master Users to start setting up their Sub Users.",156.txt,no_entity,350,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,1,1,0,0,0,59,91.0,12,431,24,35,0,14,0,0,0,0,0.3559322033898305,0.6,3.8461538461538463,0,1,0,0
646,The Splash page will look something like the following:,156.txt,no_entity,55,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,59,91.0,12,431,24,35,0,13,0,0,0,0,0.3728813559322034,0.6285714285714286,0.6043956043956044,1,0,1,0
647,Week of Feb. 4:,156.txt,no_entity,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,59,91.0,12,431,24,35,0,12,0,0,0,0,0.3898305084745763,0.6571428571428571,0.16483516483516483,1,0,1,1
648,"We will send out a mass mailing to approx. 3,000 individuals at 450 companies inviting them to sign up for the site. Included in the package will be a simple brochure, copies of the PA and ETA, key messages and a list of Frequently Asked Questions.",156.txt,no_entity,248,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,59,91.0,12,431,24,35,0,11,0,0,0,0,0.4067796610169492,0.6857142857142857,2.7252747252747254,0,1,0,0
649,Week of Feb. 11:,156.txt,no_entity,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,59,91.0,12,431,24,35,0,10,0,0,0,1,0.423728813559322,0.7142857142857143,0.17582417582417584,1,0,1,1
650,"The site will launch, with at least financial products (timing for gas physical and power physical to be determined according to regulatory issues). ",156.txt,no_entity,149,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,59,91.0,12,431,24,35,0,9,0,0,0,1,0.4406779661016949,0.7428571428571429,1.6373626373626373,0,1,0,0
651,General Terms and Conditions (GTC's) will be available online and must be accepted online before a company can start to trade a particular commodity.,156.txt,no_entity,149,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,0,1,1,0,0,0,59,91.0,12,431,24,35,0,8,0,0,0,1,0.4576271186440678,0.7714285714285715,1.6373626373626373,0,1,0,0
652,Trading/Origination Coordination,156.txt,no_entity,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,0,0,0,1,59,91.0,12,431,24,35,0,7,0,0,0,1,0.4745762711864407,0.8,0.3516483516483517,1,0,1,1
653,The Top 50 customers will have at least an initial contact within the first two days of starting the marketing effort and that all customers who previously traded either gas or power will receive a mailing within the first 10 days. An online marketer has been assigned as coordinator for each company and will assist each Trader/Originator in following up with Master Users as necessary to make sure PA's are signed and returned.,156.txt,no_entity,429,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,59,91.0,12,431,24,35,0,6,0,0,0,1,0.4915254237288136,0.8285714285714286,4.714285714285714,0,1,0,0
654,UBSWenergy Marketing Contacts:,156.txt,no_entity,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,0,1,0,0,0,0,59,91.0,12,431,24,35,0,5,0,0,0,1,0.5084745762711864,0.8571428571428571,0.32967032967032966,1,0,1,1
655,"For Marketing-specific questions, please use the following contacts. For other questions, please contact Bob Shults (30397) or Dave Forster (31861).		",156.txt,no_entity,150,31,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,F,0,1,1,0,0,0,59,91.0,12,431,24,35,0,4,0,0,1,1,0.5254237288135594,0.8857142857142857,1.6483516483516483,0,1,0,0
656,Teresa Mandola (39807) - Power,156.txt,no_entity,30,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,1,59,91.0,12,431,24,35,0,3,0,0,1,1,0.5423728813559322,0.9142857142857143,0.32967032967032966,1,0,1,1
